/Users/invis/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
INFO:__main__:🍽️ 食べログからデータ取得開始（改良版V2）
INFO:tabelog_scraper_async_v2:前回の進捗を読み込みました: 760件処理済み
INFO:tabelog_scraper_async_v2:前回の結果を読み込みました: 760件
INFO:tabelog_scraper_async_v2:🍽️ 東京都のデータ取得開始
INFO:tabelog_scraper_async_v2:ページ 45: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 46: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 47: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 48: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 49: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 50: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 51: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 52: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 53: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 54: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 55: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 56: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 57: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 58: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 59: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 60: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:合計 1200 件の店舗URL取得
INFO:tabelog_scraper_async_v2:バッチ処理中: 761-780/1200
/Users/invis/Library/Python/3.9/lib/python/site-packages/soupsieve/css_parser.py:876: FutureWarning: The pseudo class ':contains' is deprecated, ':-soup-contains' should be used moving forward.
  warnings.warn(  # noqa: B028
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [761件目]: 北斗 麻辣湯
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [762件目]: 海と山の幸 和 KAZU
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [763件目]: 個室居酒屋 座楽 渋谷駅前店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [764件目]: メナムのほとり テラススクエア店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [765件目]: リストランテ・マッサ
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [766件目]: 縡魂
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [767件目]: 築地とときち 新宿三丁目店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [768件目]: 大衆酒場フレンチマン 小虎小路店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [769件目]: USHIMITSU NISHIAZABU
INFO:tabelog_scraper_async_v2:進捗保存: 770件完了
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [770件目]: Cheese To Meat You
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [771件目]: 南国亭 町田本店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [772件目]: Dochaku
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [773件目]: SUD restaurant
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [774件目]: ラ・ブーシェリー・エ・ヴァン 肉屋のワイン食堂 浜松町店
INFO:tabelog_scraper_async_v2:✅ 店舗情報取得成功 [775件目]: 神楽坂ルバイヤート
